Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Andrés, Rodríguez, Díaz, VEN44, 777444
Isabella, Sánchez, Muñoz, VEN45, 888555
Mateo, Fernández, Castro, VEN46, 999666
Camila, Pérez, Salazar, VEN47, 111777
Martín, Gómez, Ramírez, VEN48, 222888
Antonia, Muñoz, Vargas, VEN49, 333999
Santiago, Suárez, Sánchez, VEN50, 444000
Joaquín, Castro, Torres, VEN51, 555111
Constanza, Delgado, Gómez, VEN52, 666222
Renata, Vega, Salazar, VEN53, 777333
Luciano, Ramírez, Soto, VEN54, 888444
Isabella, Díaz, León, VEN55, 999555
Valentina, Mendoza, Fernández, VEN56, 111666
Gabriel, Torres, Suárez, VEN57, 222777
Mariana, Castro, Gómez, VEN58, 333888
Lautaro, Salazar, Pérez, VEN59, 444999
Florencia, Sánchez, Torres, VEN60, 555000
Juan, Suárez, Ramírez, VEN61, 444111
Sofía, Torres, Pérez, VEN62, 555222
Lucía, Salazar, Martínez, VEN63, 666333
Andrés, Rodríguez, Díaz, VEN64, 777444
Isabella, Sánchez, Muñoz, VEN65, 888555
Mateo, Fernández, Castro, VEN66, 999666
Camila, Pérez, Salazar, VEN67, 111777
Martín, Gómez, Ramírez, VEN68, 222888
Antonia, Muñoz, Vargas, VEN69, 333999
Santiago, Suárez, Sánchez, VEN70, 444000
Joaquín, Castro, Torres, VEN71, 555111
Constanza, Delgado, Gómez, VEN72, 666222
Renata, Vega, Salazar, VEN73, 777333
Luciano, Ramírez, Soto, VEN74, 888444
Isabella, Díaz, León, VEN75, 999555
Valentina, Mendoza, Fernández, VEN76, 111666
Gabriel, Torres, Suárez, VEN77, 222777
Mariana, Castro, Gómez, VEN78, 333888
Lautaro, Salazar, Pérez, VEN79, 444999
Florencia, Sánchez, Torres, VEN80, 555000
Juan, Suárez, Ramírez, VEN81, 444111
Sofía, Torres, Pérez, VEN82, 555222
Lucía, Salazar, Martínez, VEN83, 666333
Andrés, Rodríguez, Díaz, VEN84, 777444
Isabella, Sánchez, Muñoz, VEN85, 888555
Mateo, Fernández, Castro, VEN86, 999666
Camila, Pérez, Salazar, VEN87, 111777
Martín, Gómez, Ramírez, VEN88, 222888
Antonia, Muñoz, Vargas, VEN89, 333999
Santiago, Suárez, Sánchez, VEN90, 444000
Joaquín, Castro, Torres, VEN91, 555111
Constanza, Delgado, Gómez, VEN92, 666222
Renata, Vega, Salazar, VEN93, 777333
Luciano, Ramírez, Soto, VEN94, 888444
Isabella, Díaz, León, VEN95, 999555
Valentina, Mendoza, Fernández, VEN96, 111666
Gabriel, Torres, Suárez, VEN97, 222777
Mariana, Castro, Gómez, VEN98, 333888
Lautaro, Salazar, Pérez, VEN99, 444999
Florencia, Sánchez, Torres, VEN100, 555000
Juan, Suárez, Ramírez, VEN101, 444111
Sofía, Torres, Pérez, VEN102, 555222
Lucía, Salazar, Martínez, VEN103, 666333
Andrés, Rodríguez, Díaz, VEN104, 777444
Isabella, Sánchez, Muñoz, VEN105, 888555
Mateo, Fernández, Castro, VEN106, 999666
Camila, Pérez, Salazar, VEN107, 111777
Martín, Gómez, Ramírez, VEN108, 222888
Antonia, Muñoz, Vargas, VEN109, 333999
Santiago, Suárez, Sánchez, VEN110, 444000
Joaquín, Castro, Torres, VEN111, 555111
Constanza, Delgado, Gómez, VEN112, 666222
Renata, Vega, Salazar, VEN113, 777333
Luciano, Ramírez, Soto, VEN114, 888444
Isabella, Díaz, León, VEN115, 999555
Valentina, Mendoza, Fernández, VEN116, 111666
Gabriel, Torres, Suárez, VEN117, 222777
Mariana, Castro, Gómez, VEN118, 333888
Lautaro, Salazar, Pérez, VEN119, 444999
Florencia, Sánchez, Torres, VEN120, 555000
