Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Camila, Pérez, Salazar, SAN67, 111777
Martín, Gómez, Ramírez, SAN68, 222888
Antonia, Muñoz, Vargas, SAN69, 333999
Santiago, Suárez, Sánchez, SAN70, 444000
Joaquín, Castro, Torres, SAN71, 555111
Constanza, Delgado, Gómez, SAN72, 666222
Renata, Vega, Salazar, SAN73, 777333
Luciano, Ramírez, Soto, SAN74, 888444
Isabella, Díaz, León, SAN75, 999555
Valentina, Mendoza, Fernández, SAN76, 111666
Gabriel, Torres, Suárez, SAN77, 222777
Mariana, Castro, Gómez, SAN78, 333888
Lautaro, Salazar, Pérez, SAN79, 444999
Florencia, Sánchez, Torres, SAN80, 555000
Juan, Suárez, Ramírez, SAN81, 444111
Sofía, Torres, Pérez, SAN82, 555222
Lucía, Salazar, Martínez, SAN83, 666333
Andrés, Rodríguez, Díaz, SAN84, 777444
Isabella, Sánchez, Muñoz, SAN85, 888555
Mateo, Fernández, Castro, SAN86, 999666
Camila, Pérez, Salazar, SAN87, 111777
Martín, Gómez, Ramírez, SAN88, 222888
Antonia, Muñoz, Vargas, SAN89, 333999
Santiago, Suárez, Sánchez, SAN90, 444000
Joaquín, Castro, Torres, SAN91, 555111
Constanza, Delgado, Gómez, SAN92, 666222
Renata, Vega, Salazar, SAN93, 777333
Luciano, Ramírez, Soto, SAN94, 888444
Isabella, Díaz, León, SAN95, 999555
Valentina, Mendoza, Fernández, SAN96, 111666
Gabriel, Torres, Suárez, SAN97, 222777
Mariana, Castro, Gómez, SAN98, 333888
Lautaro, Salazar, Pérez, SAN99, 444999
Florencia, Sánchez, Torres, SAN100, 555000
Juan, Suárez, Ramírez, SAN101, 444111
Sofía, Torres, Pérez, SAN102, 555222
Lucía, Salazar, Martínez, SAN103, 666333
Andrés, Rodríguez, Díaz, SAN104, 777444
Isabella, Sánchez, Muñoz, SAN105, 888555
Mateo, Fernández, Castro, SAN106, 999666
Camila, Pérez, Salazar, SAN107, 111777
Martín, Gómez, Ramírez, SAN108, 222888
Antonia, Muñoz, Vargas, SAN109, 333999
Santiago, Suárez, Sánchez, SAN110, 444000
Joaquín, Castro, Torres, SAN111, 555111
Constanza, Delgado, Gómez, SAN112, 666222
Renata, Vega, Salazar, SAN113, 777333
Luciano, Ramírez, Soto, SAN114, 888444
Isabella, Díaz, León, SAN115, 999555
Valentina, Mendoza, Fernández, SAN116, 111666
Gabriel, Torres, Suárez, SAN117, 222777
Mariana, Castro, Gómez, SAN118, 333888
Lautaro, Salazar, Pérez, SAN119, 444999
Florencia, Sánchez, Torres, SAN120, 555000


